title,secondary_title,date,type,region,author,edition
בראשית רבה,,אמוראי,parallel,ארץ ישראל,,"מהדורת י' תיאודור וח' אלבק2, א-ג, ירושלים תשכ""ה"
מדרש תהלים,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת ש' בובר, וילנה תרנ""א"
מדרש תנאים,,תנאי,parallel,ארץ ישראל,,"מהדורת ד""צ הופמן, א-ב, ברלין תרס""ח-תרס""ט"
מכילתא דר' ישמעאל,,תנאי,parallel,ארץ ישראל,,"מהדורת ח""ש הורוביץ וי""א רבין, פרנקפורט תרצ""א"
"מכילתא דרשב""י",מכילתא דר' שמעון בן יוחאי,תנאי,parallel,ארץ ישראל,,"מהדורת י""ן אפשטיין וע""צ מלמד2, ירושלים תשל""ט"
מסכת עבדים,,בתר אמוראי,parallel,ארץ ישראל,,"בתוך שבע מסכתות קטנות, מהדורת מ' היגר, ניו יורק תר""ץ"
מסכת סופרים,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת מ' היגר, ניו יורק תרצ""ז"
משנה,,תנאי,parallel,ארץ ישראל,,"מהדורת ח' אלבק, ירושלים ותל אביב תשי""ט; סדר זרעים עם שינויי נוסחאות, מהדורת יד הרב הרצוג תשל""ב-תשל""ה"
משנת ר' אליעזר,מדרש לב מידות; מדרש אגור,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת ה""ג ענעלאו, ניו יורק תרצ""ד"
סדר עולם,,תנאי,parallel,ארץ ישראל,,"מהדורת ח' מיליקובסקי Seder Olam, “A Rabbinic Chronology”, Ph. D. diss., Yale University, 1981"
ספרא,תורת כהנים,תנאי,parallel,ארץ ישראל,,"דבורא דנדבה ודבורא דחובה, ספרא דבי רב מהדורת א""א פינקלשטיין, א-ד, ניו יורק תשמ""ג-תש""ן; פרשות צו-בחוקותי, מהדורת א""ה וייס, וינה תרכ""ב"
ספרי במדבר,,תנאי,parallel,ארץ ישראל,,"מהדורת ח""ש הורוביץ, לייפציג תרע""ז (ומהדורת מ""י כהנא, ירושלים תשע""א)"
ספרי דברים,,תנאי,parallel,ארץ ישראל,,"מהדורת א""א פינקלשטיין2, ניו יורק תשכ""ט"
ספרי זוטא,,תנאי,parallel,ארץ ישראל,,"מהדורת ח""ש הורוביץ, לייפציג תרע""ז"
פסיקתא דרב כהנא,,אמוראי,parallel,ארץ ישראל,,"מהדורת ד' מנדלבוים, א-ב, ניו יורק תשכ""ב"
פסיקתא רבתי,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת מ' איש-שלום, וינה תר""ם"
קהלת רבה,,בתר אמוראי,parallel,ארץ ישראל,,דפוס וילנה
רות רבה,,בתר אמוראי,parallel,ארץ ישראל,,"מהדורת מ""ב לרנר, ""אגדת רות ומדרש רות רבה"", עבודת דוקטור, האוניברסיטה העברית, תשל""א"
שמות רבה,,בתר אמוראי,parallel,ארץ ישראל,,"מדרש שמות רבה פרשות א-יד, מהדורת א' שנאן, ירושלים ותל-אביב תשמ""ד; השאר: דפוס וילנה"
